Table 1
MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Zip or Postal Code,Location,Missing,Link,First Published,Last Update
45555,,Civil War Memorial,,,1931,the William Jewell class of 1931,39.24864,-94.41325,544 East Mississippi,Liberty,,Clay County,Missouri,64068,It can be reached from East Mississippi Street 0.1 miles east of North Jewell Street.,,https://www.hmdb.org/m.asp?m=45555,8/7/2011,2/13/2026
45569,,Mass Grave Site,,,1994,,39.24866,-94.41322,544 East Mississippi Street,Liberty,,Clay County,Missouri,64068,It can be reached from East Mississippi Street 0.1 miles east of North Jewell Street.,,https://www.hmdb.org/m.asp?m=45569,8/7/2011,8/30/2011
45678,,Methodist Episcopal Church Founded 1822,Clay County Historical Society,Historic Landmark,,Clay County Historical Society,39.24578,-94.41744,23 South Leonard Street,Liberty,,Clay County,Missouri,64068,"It is on Leonard Street 0.1 miles south of Kansas Street, on the right when traveling north.",,https://www.hmdb.org/m.asp?m=45678,8/8/2011,12/16/2020
46134,,Watkins Mill,,Clay County Historical Society Historic Landmark,,The Clay County Missouri Historical Society,39.41034,-94.25990,,Kearney,,Clay County,Missouri,64060,It can be reached from Watkins Road 1 mile south of County Road MM.,,https://www.hmdb.org/m.asp?m=46134,8/19/2011,12/23/2025
46205,,The Liberty Spring,,,,"Alexander Doniphan Chapter, Daughters of the American Revolution",39.24378,-94.41850,140 South Missouri Street,Liberty,,Clay County,Missouri,64068,"It is on Missouri Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=46205,8/19/2011,6/21/2016
46577,,Riverview,Clay County Historical Society,Historic Landmark,,Clay County Missouri Historical Society,39.25546,-94.42260,,Liberty,,Clay County,Missouri,64068,It is at the intersection of Crawford Lane and North Grover Street on Crawford Lane. ,,https://www.hmdb.org/m.asp?m=46577,8/31/2011,12/16/2020
46604,,The Liberty Landing,,,,"The Liberty, Missouri Sertoma Club",39.20633,-94.38330,,Liberty,,Clay County,Missouri,64068,It can be reached from Old Missouri 210 ½ mile east of Missouri Hiway 291.,,https://www.hmdb.org/m.asp?m=46604,8/29/2011,8/29/2011
46619,,The Trenches On The Hill,,,,,39.24841,-94.41300,544 East Mississippi Street,Liberty,,Clay County,Missouri,64068,It can be reached from East MIssissippi Street 0.1 miles east of North Jewell Street.,,https://www.hmdb.org/m.asp?m=46619,8/29/2011,8/29/2011
46678,,Lightburne Hall,,Clay County Historical Society Historic Landmark,,Clay County Missouri Historical Society,39.24898,-94.41928,301 North Water Street,Liberty,,Clay County,Missouri,64068,"It is on North Water Street 0.1 miles north of East Mississippi Street, on the right when traveling north.",,https://www.hmdb.org/m.asp?m=46678,9/2/2011,10/16/2011
46694,,The Lewis and Clark Expedition Across Missouri,,,,"Missouri Department of Natural Resources; National Park Service; Missouri Lewis and Clark Bicentennial Commission; The City of Liberty, Missouri",39.20571,-94.38330,2200 East Old Missouri 210,Liberty,,Clay County,Missouri,64068,It is on Old Missouri 210 ½ mile east of Missouri Highway 291.,,https://www.hmdb.org/m.asp?m=46694,10/12/2011,10/12/2011
