MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Zip or Postal Code,Location,Missing,Link,First Published,Last Update
22004,,Camden Point Veterans' Marker,,,2009,Citizens of Camden Point and surrounding areas,39.45337,-94.75620,,Camden Point,,Platte County,Missouri,64018,"It is on County Road E 0.1 miles Interurban Road, on the right when traveling east.",,https://www.hmdb.org/m.asp?m=22004,8/30/2009,8/30/2009
40986,,John H. Dillingham,,,,Platte County Historical Society,39.28176,-94.83145,108 Main Street,Farley,,Platte County,Missouri,64028,"It is on Main Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=40986,3/18/2011,6/6/2022
43178,T2 [32],Airport History,,,,Kansas City International Airport,39.31451,-94.70108,,Kansas City,,Platte County,Missouri,64153,It can be reached from North Winan Avenue. ,,https://www.hmdb.org/m.asp?m=43178,6/6/2011,11/23/2024
43179,A1,The Pony Express,,,,Kansas City International Airport,39.31462,-94.69751,,Kansas City,,Platte County,Missouri,64153,It can be reached from Amman Drive. ,,https://www.hmdb.org/m.asp?m=43179,6/6/2011,6/18/2022
43181,A2,Aromatherapy,,,,Kansas City International Airport,39.31382,-94.69751,,Kansas City,,Platte County,Missouri,64153,It can be reached from no nearby street. ,,https://www.hmdb.org/m.asp?m=43181,6/6/2011,6/11/2022
43182,A3,KC Art Deco,,,,Kansas City International Airport,39.31335,-94.69584,,Kansas City,,Platte County,Missouri,64153,It can be reached from no nearby street. ,,https://www.hmdb.org/m.asp?m=43182,6/6/2011,6/14/2022
43183,A4,Satchel Paige,,,,Kansas City International Airport,39.31348,-94.69461,,Kansas City,,Platte County,Missouri,64153,It can be reached from no nearby street. ,,https://www.hmdb.org/m.asp?m=43183,6/6/2011,6/14/2011
43184,A5,The Stockyards,,,,Kansas City International Airport,39.31443,-94.69461,,Kansas City,,Platte County,Missouri,64153,It can be reached from North Winan Avenue. ,,https://www.hmdb.org/m.asp?m=43184,6/6/2011,6/18/2022
43186,A6,Shoe Parties,,,,Kansas City International Airport,39.31461,-94.69584,,Kansas City,,Platte County,Missouri,64153,It can be reached from no nearby street. ,,https://www.hmdb.org/m.asp?m=43186,6/6/2011,6/18/2022
43188,B2,The Liberty Memorial,,,,Kansas City International Airport,39.31566,-94.70364,,Kansas City,,Platte County,Missouri,64153,It can be reached from Beijing Drive. ,,https://www.hmdb.org/m.asp?m=43188,6/6/2011,12/14/2025
43189,B3,Happy Trails,,,,Kansas City International Airport,39.31567,-94.70463,,Kansas City,,Platte County,Missouri,64153,It can be reached from Beijing Drive. ,,https://www.hmdb.org/m.asp?m=43189,6/6/2011,6/13/2022
43190,B4,The Country Club Plaza,,,,Kansas City International Airport,39.31472,-94.70542,,Kansas City,,Platte County,Missouri,64153,It can be reached from Tel Aviv Avenue. ,,https://www.hmdb.org/m.asp?m=43190,6/6/2011,5/9/2025
43193,B5,Hale: The Firepole,,,,Kansas City International Airport,39.31471,-94.70402,,Kansas City,,Platte County,Missouri,64153,It can be reached from no nearby street. ,,https://www.hmdb.org/m.asp?m=43193,6/6/2011,6/12/2022
43194,B6,Home of BBQ,,,,Kansas City International Airport,39.31370,-94.70402,,Kansas City,,Platte County,Missouri,64153,It can be reached from no nearby street. ,,https://www.hmdb.org/m.asp?m=43194,6/6/2011,12/17/2024
43195,B7,Mouse Tale,,,,Kansas City International Airport,39.31371,-94.70543,,Kansas City,,Platte County,Missouri,64153,It can be reached from Beijing Drive. ,,https://www.hmdb.org/m.asp?m=43195,6/6/2011,6/14/2022
43196,B8,The American Royal,,,,Kansas City International Airport,39.31244,-94.70544,,Kansas City,,Platte County,Missouri,64153,It can be reached from no nearby street. ,,https://www.hmdb.org/m.asp?m=43196,6/6/2011,6/18/2022
43197,B9,Football Fever,,,,Kansas City International Airport,39.31244,-94.70389,,Kansas City,,Platte County,Missouri,64153,It can be reached from Beijing Drive. ,,https://www.hmdb.org/m.asp?m=43197,6/7/2011,6/12/2022
